startdate,enddate,status,ipaddress,progress,duration_in_seconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,consent,q26_browser,q26_version,q26_operating_system,q26_resolution,qid54_first_click,qid54_last_click,qid54_page_submit,qid54_click_count,real_imaginary,initials_box,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_do_1,feelings_do_2,feelings_do_3,feelings_do_4,feelings_do_5,feelings_do_6,feelings_exp,outcome_binary1,outcome_binary1_do_1,outcome_binary1_do_2,outcome_binary2,outcome_binary2_do_1,outcome_binary2_do_2,blame_1,attention_1,attention_1_text,attention_2,attention_2_text,attention_3,attention_3_text,target_sex,target_sex_3_text,sex,sex_3_text,age,comments,maincontrol,passedattn,lottery_draw,winner,initials,respondent_id,duration_sec,passedattn_raw,attention_text_raw,attention_text_std,attention_pass_rebuilt,attention_pass_supplied,attention_match,attention_pass,flag_unfinished,flag_attention_fail,flag_missing_main,flag_age_implausible,flag_clickthrough_comment,include_primary,include_strict,self_blame_c,mutual_order_pref,mutual_avg,unilateral_avg,scenario_type,real_conflict,binary1_choice,binary2_choice
2021-01-27T12:12:56Z,2021-01-27T12:16:04Z,IP Address,98.212.159.22,100,187,TRUE,2021-01-27T12:16:04Z,R_2vex3Z2Y8UJUhho,NA,NA,NA,NA,40.1119995117187,-88.2365036010742,anonymous,EN,AGREE,Safari,14.0.2,Macintosh,1440x900,38.174,38.174,39.609,1,I have thought of a real argument/conflict from my life where this is true,lc,Can't agree at work,-19,0,-20,0,-10,-10,2,4,1,3,5,6,NA,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,40,NA,NA,NA,NA,NA,banana,Female,NA,Female,NA,29,NA,showConsentOn showAttnOn,yes,17,0,lc,R_2vex3Z2Y8UJUhho,187,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-10,0,0,-19.5,real,1,neither,neither
2021-01-27T12:12:57Z,2021-01-27T12:16:08Z,IP Address,73.110.74.18,100,190,TRUE,2021-01-27T12:16:08Z,R_UWk2HHPXa0vxJEB,NA,NA,NA,NA,41.9208984375,-87.7042999267578,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,12.719,12.719,13.599,1,I have thought of a real argument/conflict from my life where this is true,STX,"We were working on a project, and an experimental demonstration did not work out properly. After the mishap, I found a fix, but it was too late. The demonstration was really important to this person, and after the mishap he felt as if it would be difficult to trust me.",10,20,-19,30,-20,5,5,1,2,3,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,75,NA,NA,NA,NA,NA,banana,Male,NA,Male,NA,26,NA,showConsentOn showAttnOn,yes,7,0,STX,R_UWk2HHPXa0vxJEB,190,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,25,10,25,-4.5,real,1,self_first_mutual,self_only
2021-01-27T12:12:42Z,2021-01-27T12:16:19Z,IP Address,24.1.229.0,100,216,TRUE,2021-01-27T12:16:19Z,R_3dNe0dpi9xqXJE4,NA,NA,NA,NA,41.8986053466796,-87.7379989624023,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1920x1080,22.183,22.183,24.711,1,I have thought of a real argument/conflict from my life where this is true,EM,Disagreement about the process for input and timeline for delivery for a communication product.,-22,15,-1,12,-24,-29,5,2,1,3,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,NA,NA,NA,NA,NA,Banana,Female,NA,Male,NA,34,NA,showConsentOn showAttnOn,yes,35,0,EM,R_3dNe0dpi9xqXJE4,216,yes,Banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,-3,13.5,-11.5,real,1,self_first_mutual,self_only
2021-01-27T12:12:39Z,2021-01-27T12:16:28Z,IP Address,73.110.45.82,100,228,TRUE,2021-01-27T12:16:28Z,R_uthr22c7jsHMSUp,NA,NA,NA,NA,41.8710021972656,-87.6288986206054,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,20.323,31.935,35.455,5,I have thought of a real argument/conflict from my life where this is true,OSC,"We were yelling at each other about something simple, but it escalated into something else. My ego was scratched and I said some defensive angry remarks.",-10,10,-4,7,4,12,1,5,3,4,2,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,46,NA,NA,NA,NA,NA,banana,Male,NA,Male,NA,20,NA,showConsentOn showAttnOn,yes,38,0,OSC,R_uthr22c7jsHMSUp,228,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-4,-3,8.5,-7,real,1,self_first_mutual,self_only
2021-01-27T12:12:43Z,2021-01-27T12:16:46Z,IP Address,72.83.222.239,100,242,TRUE,2021-01-27T12:16:48Z,R_bBJ75JWs3W8KSgF,NA,NA,NA,NA,38.9488983154296,-76.935203552246,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1200,29.019,29.019,42.399,1,I have thought of a real argument/conflict from my life where this is true,TR,I'm not comfortable writing this.,-30,8,1,20,-20,-30,2,1,3,5,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,31,NA,NA,NA,NA,NA,Banana,Other,NA,Male,NA,149,don't use these data; was just clicking through.,showConsentOn showAttnOn,yes,37,0,TR,R_bBJ75JWs3W8KSgF,242,yes,Banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,-19,12,14,-14.5,real,1,self_first_mutual,neither
2021-01-27T12:12:36Z,2021-01-27T12:16:48Z,IP Address,75.3.232.164,100,252,TRUE,2021-01-27T12:16:50Z,R_3LfYCLoxkitDLMZ,NA,NA,NA,NA,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,19.112,19.112,20.203,1,I have thought of a real argument/conflict from my life where this is true,CM,"Decision to take on new, risky initiative (high effort, high payoff; work is slightly outside of job description)",-20,-10,-20,9,-10,-10,1,2,3,4,5,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,35,NA,Netherlands,NA,Vietnam,NA,Morocco,Female,NA,Female,NA,28,NA,showConsentOn showAttnOn,no,10,0,CM,R_3LfYCLoxkitDLMZ,252,no,Morocco,morocco,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-15,19,-0.5,-20,real,1,self_first_mutual,neither
2021-01-27T12:12:49Z,2021-01-27T12:16:49Z,IP Address,108.7.50.47,100,240,TRUE,2021-01-27T12:16:51Z,R_3p4o7ohyg5szGL4,NA,NA,NA,NA,42.4810028076171,-71.1563034057617,anonymous,EN,AGREE,Safari,13.0.5,Macintosh,1440x900,11.992,20.81,22.201,3,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),NM,There was a class assignment that was due and the work was designed as a group project. We split the work at the beginning and rushed to put it together at the end--one of the teammates did not do the correct part of the assignment so we were missing a segment altogether,-10,10,10,-10,20,-30,3,2,1,4,5,6,NA,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,59,NA,NA,NA,NA,NA,banana,Female,NA,Male,NA,21,NA,showConsentOn showAttnOn,yes,28,0,NM,R_3p4o7ohyg5szGL4,240,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9,-20,0,0,imagined,0,neither,neither
2021-01-27T12:12:53Z,2021-01-27T12:16:56Z,IP Address,50.237.5.2,100,243,TRUE,2021-01-27T12:16:57Z,R_usTgGl3mSlaJR29,NA,NA,NA,NA,41.888198852539,-87.6164016723632,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1440x900,13.573,13.573,14.85,1,I have thought of a real argument/conflict from my life where this is true,TS,This colleague felt that I was not delivering a creative/out of the box enough solution and I felt that I was providing as much as possible given the constraints I was working with. There was no extreme argument but I could tell that he was not pleased with my explanation.,-19,27,-30,30,-8,22,1,5,4,3,2,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,30,NA,NA,NA,NA,NA,banana,Male,NA,Female,NA,24,NA,showConsentOn showAttnOn,yes,23,0,TS,R_usTgGl3mSlaJR29,243,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-20,3,28.5,-24.5,real,1,self_first_mutual,self_only
2021-01-27T12:12:53Z,2021-01-27T12:16:58Z,IP Address,142.147.59.203,100,245,TRUE,2021-01-27T12:16:58Z,R_2upnP4bUI9b7rme,NA,NA,NA,NA,41.8710021972656,-87.6288986206054,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1368x912,26.313,26.313,27.477,1,I have thought of a real argument/conflict from my life where this is true,MM,My manager didn't want to present an analysis that I had done to the client and we argued if it was worth presenting or not.,-21,5,-21,5,-10,-6,2,1,5,3,4,6,NA,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,52,NA,NA,NA,NA,NA,banana,Female,NA,Male,NA,28,NA,showConsentOn showAttnOn,yes,32,0,MM,R_2upnP4bUI9b7rme,245,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,0,5,-21,real,1,self_first_mutual,self_only
2021-01-27T12:13:07Z,2021-01-27T12:17:16Z,IP Address,128.135.98.151,100,249,TRUE,2021-01-27T12:17:16Z,R_5z2POi5gxcMK2Wd,NA,NA,NA,NA,41.7821044921875,-87.6045989990234,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,34.663,34.663,37.399,1,I have thought of a real argument/conflict from my life where this is true,JI,"They did not do any work in a group project. Even when we made it easy for them to help, they refused and hurt our grade.",-30,-20,10,25,-5,-11,3,1,2,5,4,6,NA,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,10,NA,NA,NA,NA,NA,banana,Male,NA,Male,NA,18,NA,showConsentOn showAttnOn,yes,34,0,JI,R_5z2POi5gxcMK2Wd,249,yes,banana,banana,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-40,45,2.5,-10,real,1,neither,neither
